"Freq [GHz]","re(Z(1,1)) [] - Cap='0.5pF'","re(Z(1,1)) [] - Cap='0.6pF'","re(Z(1,1)) [] - Cap='0.7pF'","re(Z(1,1)) [] - Cap='0.8pF'","re(Z(1,1)) [] - Cap='0.9pF'","re(Z(1,1)) [] - Cap='1pF'","re(Z(1,1)) [] - Cap='1.1pF'","re(Z(1,1)) [] - Cap='1.2pF'","re(Z(1,1)) [] - Cap='1.3pF'","re(Z(1,1)) [] - Cap='1.4pF'","re(Z(1,1)) [] - Cap='1.5pF'","im(Z(1,1)) [] - Cap='0.5pF'","im(Z(1,1)) [] - Cap='0.6pF'","im(Z(1,1)) [] - Cap='0.7pF'","im(Z(1,1)) [] - Cap='0.8pF'","im(Z(1,1)) [] - Cap='0.9pF'","im(Z(1,1)) [] - Cap='1pF'","im(Z(1,1)) [] - Cap='1.1pF'","im(Z(1,1)) [] - Cap='1.2pF'","im(Z(1,1)) [] - Cap='1.3pF'","im(Z(1,1)) [] - Cap='1.4pF'","im(Z(1,1)) [] - Cap='1.5pF'"
0.937777777777778,2.10946436685988,2.31530463348283,2.54672451138209,2.82821689772079,3.17757163496509,3.43951635494576,4.11361941390897,4.73738871437343,5.64085913093308,6.89396704950748,8.83443501253431,58.84494194574,61.2472487027449,63.9099513707735,66.90336095021,70.5539380214693,76.0652398943829,79.4148355781647,87.454716041606,95.0988895591162,104.53406223104,116.911751722804
0.94,2.17391797361443,2.38788075939727,2.62878683244407,2.92220257189905,3.28705797877524,3.56248666201587,4.26912238719483,4.92648642379757,5.88135848610059,7.21177593225661,9.28281059376329,59.1223512851559,61.5571697022747,64.2588981317513,67.2998866778246,71.0109268977174,76.6120127601892,80.0420073208538,88.245253166902,96.0801807046431,105.779384114131,118.553454310462
0.942222222222222,2.24071034394253,2.46315683301803,2.71398906549385,3.01990050674675,3.40103321297637,3.69070197865691,4.43161969373294,5.12466987002878,6.13430600565293,7.54754275521914,9.75944032487694,59.4019541974328,61.8697912735268,64.6112153501356,67.7006753735967,71.4734065355982,77.166328485081,80.67870779967,89.0499520726365,97.0818255320801,107.054790674189,120.242113880046
0.944444444444444,2.30993570358232,2.54124457926749,2.80246526417728,3.12147491939736,3.51970437425981,3.82441650203417,4.60146825934194,5.33244226024672,6.40045248673722,7.9024639293141,10.266452951321,59.6837700209808,62.1851405223009,64.9669421461222,68.1057839346569,71.9414608999548,77.7283321899935,81.3251275244747,89.869166899974,98.104418756391,108.361308813446,121.97962435492
0.946666666666667,2.38169228124156,2.62226061382452,2.89435556869811,3.22709779827514,3.64328878316226,3.96389795114131,4.77904497221484,5.55033792972739,6.68059996507711,8.27782724749791,10.8061635878614,59.9678167971477,62.5032431491953,65.3261162004577,68.5152678596813,72.4151727412903,78.2981697498364,81.9814574528778,90.7032580618386,99.1485704898901,109.70000022902,123.767960095569
0.948888888888889,2.45608246939329,2.70632664759385,2.98980647364083,3.33694926491519,3.77201455454223,4.109428316441,4.96474783784417,5.77892440769901,6.97560553909444,8.67501964652606,11.3810921336363,60.2541110990845,62.8241232460624,65.6887735130807,68.9291809585908,72.8946232387057,78.875987471941,82.6478884373111,91.5525917718516,100.214905869126,111.071961467725,125.609177333882
0.951111111111111,2.53321298898878,2.79356969673093,3.0889711041385,3.4512179486492,3.90612112874938,4.26130464850822,5.15899719518185,6.01880462100397,7.28638549161325,9.09553567466618,11.9939836743755,60.5426678452109,63.1478030734098,66.0549481379316,69.3475750316755,73.3798916020717,79.4619317287236,83.3246105923255,92.4175394681757,101.304064521867,112.478323717416,127.50541507983
0.953333333333333,2.61319505776049,2.88412229786339,3.19200950003734,3.57010137387343,4.04585982339157,4.41983988693983,5.36223699572542,6.27061924343823,7.61391973119492,9.54098673016738,12.6478310957046,60.8335000960569,63.4743028171748,66.4246718918772,69.7704995153636,73.8710546294762,80.0561485394785,84.0118125729219,93.2984771174235,102.416699846711,113.920252277121,129.458895346217
0.955555555555556,2.69614456170671,2.97812272804911,3.29908890758616,3.69380635946075,4.19149440540774,4.58536373067668,5.57493614693108,6.53504919873856,7.959256576288,10.0131111405128,13.3459001556584,61.1266188331747,63.8036403231969,66.7979740355395,70.198001091628,74.3681862156477,80.6587830956965,84.7096807537628,94.1957843819042,103.553478073763,115.398945637853,131.471922502992
0.957777777777778,2.78218222925596,3.07571522889409,3.41038407803356,3.82254942969638,4.34330168291829,4.7582235507293,5.79758992097366,6.81281832519135,8.32351790642675,10.5137851578479,14.0917572906396,61.4220327187255,64.1358308075892,67.174880923657,70.6301232577878,74.8713568066853,81.2699792237451,85.4183982980665,95.1098436313779,104.715077070097,116.915634093837,133.546881531344
