"Freq [GHz]","re(Z(2,2)) [] - moveDistance='5mm'","re(Z(2,2)) [] - moveDistance='10mm'","re(Z(2,2)) [] - moveDistance='15mm'","re(Z(2,2)) [] - moveDistance='20mm'","re(Z(2,2)) [] - moveDistance='25mm'","re(Z(2,2)) [] - moveDistance='30mm'","re(Z(2,2)) [] - moveDistance='35mm'","re(Z(2,2)) [] - moveDistance='40mm'","im(Z(2,2)) [] - moveDistance='5mm'","im(Z(2,2)) [] - moveDistance='10mm'","im(Z(2,2)) [] - moveDistance='15mm'","im(Z(2,2)) [] - moveDistance='20mm'","im(Z(2,2)) [] - moveDistance='25mm'","im(Z(2,2)) [] - moveDistance='30mm'","im(Z(2,2)) [] - moveDistance='35mm'","im(Z(2,2)) [] - moveDistance='40mm'"
0.923,3.36668962959516,2.17786662819115,2.38044550156961,2.79723307828663,3.02791831801167,3.45694673595658,3.86057055445078,4.24647578061916,61.6241242409037,68.3423310279811,73.0955357768355,78.0289831103459,81.7994113993207,86.1116673583767,89.6199505823582,92.4106774163277
0.924,3.51536231274538,2.21027849269093,2.41217420115097,2.83420783933996,3.06781047768078,3.50343628400416,3.91324395926237,4.30520246183366,61.8679086715881,68.463860409091,73.2201943981073,78.1659534397298,81.946293045804,86.2731898447145,89.7953263369872,92.5967176216796
0.925,3.67932189064271,2.24335859385815,2.44441301338704,2.87175623800152,3.1083201019927,3.55065314193537,3.96675045614748,4.36487288211262,62.1243766747091,68.5859875596343,73.3451958833965,78.3032800390084,82.0935697144529,86.4351743074234,89.9712382054823,92.783346142309
0.926,3.86111925075016,2.27712692141649,2.47717137099064,2.90988806357337,3.14945765594423,3.5986097584473,4.02110446033958,4.42550360676447,62.3949634801154,68.708725811295,73.4705416133182,78.4409631077639,82.2412416375444,86.5976209975363,90.1476865576144,92.9705630595542
0.927,4.0638858399807,2.31160435056106,2.51045890341451,2.94861327585733,3.19123378317922,3.64731880013702,4.0763206423998,4.48711149685105,62.6812984934122,68.832089053141,73.5962329252527,78.5790027545052,82.3893089511494,86.7605300469538,90.3246716253392,93.1583682853777
0.928,4.29150129818898,2.34681269689574,2.54428544146828,2.9879420078131,3.2336593088002,3.69679315477908,4.13241393211696,4.5497137136666,62.9852258751611,68.9560917650758,73.7222711108361,78.7173989926573,82.5377716908813,86.9239014631452,90.502193496567,93.3467615547242
0.929,4.54881996370919,2.38277477574615,2.57866102206327,3.02788456822732,3.27674524218577,3.74704593460999,4.1893995224171,4.61332772321881,63.3088197974955,69.0807490537573,73.8486574133505,78.8561517364086,82.6866297874955,87.0877351236604,90.6802521087088,93.5357424176039
0.93,4.84198058245672,2.41951446626658,2.61359589308931,3.06845144439087,3.32050277981061,3.7980904796159,4.24729287327805,4.67797130070594,63.6543864356214,69.2060766911943,73.975393025012,78.9952607964104,82.8358830623322,87.2520307704484,90.8588472419903,93.7253102308887
0.931,5.17883500184201,2.45705678080681,2.64910051842858,3.10965330478248,3.36494330806629,3.84994036082055,4.30610971564568,4.74366253498526,64.024437643361,69.3320911562508,74.1024790841515,79.1347258753242,82.9855312225991,87.4167880039753,91.0379785125287,93.9154641498149
0.932,5.56954894519113,2.49542794005683,2.68518558311199,3.15150100175652,3.41007840608032,3.90260938357015,4.36586605534772,4.81041983302717,64.421607963539,69.4588096793108,74.2299166722834,79.2745465632123,83.1355738564891,87.5820062771354,91.217645365162,94.1062031191813
0.933,6.02745412533457,2.53465545454553,2.72186199862222,3.19400557423141,3.45591984852966,3.95611159081038,4.42657817699946,4.87826192434765,64.8484614387295,69.5862502903816,74.3577068110604,79.4147223327666,83.2860104281272,87.7476848889504,91.3978470660264,94.2975258642349
0.934,6.57027000574093,2.57476821313813,2.75914090835037,3.2371782503769,3.50247960844689,4.01046126635256,4.48826264789788,4.94720786541392,65.3070862651321,69.7144318709393,74.485850459108,79.5552525343704,83.4368402723411,87.9138229780488,91.5785826948704,94.4894308812328
0.935,7.22186970048267,2.61579657925088,2.79703369321131,3.28103045029659,3.54976986001479,4.06567293812388,4.55093632189789,5.01727704401507,65.7982806455696,69.8433742098532,74.6143485087346,79.6961363909884,83.588062589252,88.0804195159193,91.7598511371013,94.6819164276725
0.936,8.014837825122,2.65777249558792,2.83555197742399,3.32557378870252,3.59780298134615,4.12176138139701,4.61461634326548,5.08848918359051,66.3199448327459,69.973098063757,74.7432017825135,79.8373729928795,83.7396764386774,88.2474732999322,91.9416510755524,94.8749805121782
0.937,8.99413758565743,2.70072959830244,2.87470763446364,3.37082007757856,3.64659155724514,4.17874162199452,4.67932015050178,5.16086434750808,66.8639140014407,70.1036252222735,74.8724110297307,79.9789612921265,83.8916807343423,88.4149829461205,92.1239809819658,95.0686208840354
0.938,10.2221712427342,2.7447033415945,2.91451279319231,3.41678132882878,3.69614838194601,4.23662893946221,4.74506548013155,5.23442294328323,67.4096927699804,70.2349785785414,75.001976922694,80.1209000969783,84.0440742378932,88.582946881715,92.3068391081794,95.2628350223609
0.939,11.7850221309185,2.78973113388393,2.95497984417551,3.46346975690697,3.74648646182496,4.29543887020619,4.81187037044935,5.30918572673009,67.9119952131964,70.3671822055381,75.1319000528977,80.2631880659977,84.1968555527071,88.7513633374249,92.4902234770116,95.4576201248998
