"Freq [GHz]","re(Z(1,1)) [] - roateAngle='0deg'","re(Z(1,1)) [] - roateAngle='15deg'","re(Z(1,1)) [] - roateAngle='30deg'","re(Z(1,1)) [] - roateAngle='45deg'","re(Z(1,1)) [] - roateAngle='60deg'","re(Z(1,1)) [] - roateAngle='75deg'","im(Z(1,1)) [] - roateAngle='0deg'","im(Z(1,1)) [] - roateAngle='15deg'","im(Z(1,1)) [] - roateAngle='30deg'","im(Z(1,1)) [] - roateAngle='45deg'","im(Z(1,1)) [] - roateAngle='60deg'","im(Z(1,1)) [] - roateAngle='75deg'"
0.917333333333333,1.04695494390066,1.25326132449734,2.06153743783371,2.69577381593605,3.24019522299363,3.39013064796871,78.2323415274371,78.3046805341345,79.9799011912822,81.3710415573998,83.2489883491975,84.2522651185236
0.917555555555556,1.04663530858936,1.25280124642691,2.06028360202706,2.69416402367337,3.23847976137573,3.38855873695913,78.2615068398072,78.3351864891677,80.0101874466009,81.3992094757641,83.2764144104152,84.2788906104689
0.917777777777778,1.04631689537598,1.25234307091274,2.05903439533637,2.69255979639141,3.23677007543925,3.38699205349914,78.2906631589915,78.3656789412579,80.0404614416837,81.4273706464111,83.3038370338216,84.3055147068971
0.918,1.04599970100752,1.25188679119431,2.05778979924788,2.69096111381893,3.23506614634728,3.38543058227489,78.3198105206522,78.3961579469077,80.0707232287357,81.455525097648,83.3312562349138,84.3321374159861
0.918222222222222,1.04568372224363,1.25143240054607,2.0565497953481,2.68936795578365,3.23336795534568,3.38387430803326,78.3489489603112,78.4266235623629,80.100972859726,81.4836728576737,83.3586720291437,84.3587587458991
0.918444444444444,1.04536895585649,1.25097989227724,2.05531436532323,2.68778030221171,3.23167548376262,3.38232321558163,78.3780785133518,78.4570758436136,80.1312103863903,81.5118139545799,83.386084431918,84.3853787047846
0.918666666666667,1.04505539863072,1.25052925973146,2.05408349095834,2.68619813312692,3.22998871300808,3.38077728978741,78.4071992150186,78.4875148463961,80.1614358602312,81.5399484163512,83.4134934585983,84.4119973007767
0.918888888888889,1.04474304736343,1.25008049628676,2.05285715413692,2.68462142865037,3.22830762457353,3.37923651557798,78.436311100419,78.5179406261942,80.1916493325201,81.5680762708656,83.4408991245011,84.4386145419948
0.919111111111111,1.04443189886406,1.2496335953552,2.05163533684005,2.68305016899976,3.2266322000314,3.37770087794026,78.465414204523,78.5483532382405,80.2218508542983,81.5961975458952,83.4683014448987,84.4652304365437
0.919333333333333,1.0441219499544,1.2491885503827,2.05041802114586,2.68148433448881,3.22496242103471,3.37617036192047,78.4945085621646,78.5787527375182,80.2520404763785,81.6243122691068,83.4957004350183,84.4918449925137
0.919555555555556,1.04381319746845,1.24874535484878,2.04920518922882,2.67992390552672,3.22329826931655,3.37464495262384,78.5235942080423,78.6091391787621,80.282218249346,81.6524204680622,83.5230961100432,84.5184582179806
