id,time(s),value
0,2.382,1.61
0,2.396,1.61
0,2.408,1.61
0,2.409,1.61
0,2.411,1.61
0,2.437,1.61
0,2.438,1.61
0,2.439,1.61
0,2.441,1.61
0,2.479,1.61
0,2.480,1.61
0,2.482,1.61
0,2.506,1.61
0,2.520,1.61
0,2.534,1.61
0,2.534,1.61
0,2.536,1.61
0,2.562,1.61
0,2.565,1.61
0,2.567,1.61
0,2.569,1.61
0,2.603,1.61
0,2.605,1.61
0,2.607,1.61
0,2.636,1.61
0,2.644,1.61
0,2.668,1.61
0,2.669,1.61
0,2.670,1.61
0,2.686,1.61
0,2.701,1.61
0,2.702,1.61
0,2.704,1.61
0,2.734,1.61
0,2.735,1.61
0,2.738,1.61
0,2.768,1.61
0,2.770,1.61
0,2.771,1.61
0,2.800,1.61
0,2.802,1.61
0,2.810,1.61
0,2.833,1.61
0,2.834,1.61
0,2.837,1.61
0,2.866,1.61
0,2.868,1.61
0,2.870,1.61
0,2.900,1.61
0,2.902,1.61
0,2.903,1.61
0,2.933,1.61
0,2.935,1.61
0,2.937,1.61
0,2.967,1.61
0,2.969,1.61
0,2.971,1.61
0,3.001,1.61
0,3.003,1.61
0,3.005,1.61
0,3.035,1.61
0,3.037,1.61
0,3.039,1.61
0,3.066,1.61
0,3.067,1.61
0,3.068,1.61
0,3.085,1.61
0,3.086,1.61
0,3.087,1.61
0,3.106,1.61
0,3.107,1.61
0,3.108,1.61
0,3.126,1.61
0,3.140,1.61
0,3.141,1.61
0,3.141,1.61
0,3.141,1.61
0,3.182,1.61
0,3.182,1.61
0,3.182,1.61
0,3.183,1.61
0,3.223,1.61
0,3.224,1.61
0,3.225,1.61
0,3.238,1.61
0,3.265,1.61
0,3.265,1.61
0,3.265,1.61
0,3.266,1.61
0,3.306,1.61
0,3.306,1.61
0,3.307,1.61
