id,time(s),value
0,4.886,1.73
0,4.887,1.73
0,4.924,1.73
0,4.953,1.73
0,4.954,1.73
0,4.957,1.73
0,4.966,1.73
0,4.992,1.73
0,4.993,1.73
0,4.996,1.73
0,5.028,1.73
0,5.029,1.73
0,5.031,1.73
0,5.064,1.73
0,5.066,1.73
0,5.067,1.73
0,5.097,1.74
0,5.099,1.74
0,5.119,1.74
0,5.120,1.74
0,5.121,1.74
0,5.121,1.74
0,5.136,1.74
0,5.137,1.74
0,5.138,1.74
0,5.139,1.74
0,5.172,1.74
0,5.183,1.74
0,5.183,1.74
0,5.185,1.74
0,5.214,1.74
0,5.214,1.74
0,5.215,1.74
0,5.217,1.74
0,5.255,1.74
0,5.257,1.75
0,5.258,1.75
0,5.285,1.75
0,5.297,1.75
0,5.317,1.75
0,5.317,1.75
0,5.318,1.75
0,5.338,1.75
0,5.338,1.75
0,5.338,1.75
0,5.339,1.75
0,5.379,1.75
0,5.380,1.75
0,5.381,1.75
0,5.402,1.75
0,5.421,1.75
0,5.426,1.75
0,5.426,1.75
0,5.427,1.75
0,5.462,1.76
0,5.462,1.76
0,5.464,1.76
0,5.465,1.76
0,5.503,1.76
0,5.504,1.76
0,5.505,1.76
0,5.524,1.76
0,5.545,1.76
0,5.546,1.76
0,5.546,1.76
0,5.547,1.76
0,5.586,1.76
0,5.586,1.76
0,5.587,1.76
0,5.588,1.76
0,5.627,1.76
0,5.629,1.76
0,5.630,1.76
0,5.648,1.76
0,5.669,1.77
0,5.669,1.77
0,5.669,1.77
0,5.671,1.77
0,5.710,1.77
0,5.710,1.77
0,5.711,1.77
0,5.713,1.77
0,5.752,1.77
0,5.753,1.77
0,5.754,1.77
0,5.773,1.77
0,5.793,1.77
0,5.793,1.77
0,5.794,1.77
0,5.795,1.77
0,5.834,1.77
0,5.834,1.77
0,5.835,1.77
0,5.837,1.77
0,5.876,1.77
0,5.877,1.77
0,5.878,1.77
0,5.897,1.78
0,5.917,1.78
0,5.919,1.78
0,5.920,1.78
0,5.922,1.78
0,5.958,1.78
0,5.959,1.78
0,5.960,1.78
0,5.961,1.78
0,6.000,1.78
0,6.001,1.78
0,6.002,1.78
0,6.022,1.78
0,6.041,1.78
0,6.045,1.78
0,6.045,1.78
0,6.046,1.78
0,6.082,1.78
0,6.083,1.78
0,6.083,1.78
0,6.084,1.78
0,6.124,1.78
0,6.124,1.78
0,6.125,1.78
0,6.135,1.79
0,6.165,1.79
0,6.165,1.79
0,6.165,1.79
0,6.166,1.79
0,6.206,1.79
0,6.207,1.79
0,6.208,1.79
0,6.209,1.79
0,6.248,1.79
0,6.249,1.79
0,6.250,1.79
0,6.269,1.79
0,6.289,1.79
0,6.291,1.79
0,6.291,1.79
0,6.292,1.79
0,6.331,1.79
0,6.331,1.79
0,6.332,1.79
0,6.333,1.79
0,6.372,1.79
0,6.373,1.79
0,6.374,1.79
0,6.392,1.79
0,6.413,1.79
0,6.413,1.79
0,6.414,1.79
0,6.414,1.80
0,6.455,1.80
0,6.455,1.80
0,6.456,1.80
0,6.457,1.80
0,6.496,1.80
0,6.497,1.80
0,6.497,1.80
0,6.513,1.80
0,6.537,1.80
0,6.537,1.80
0,6.538,1.80
0,6.538,1.80
0,6.579,1.80
0,6.579,1.80
0,6.580,1.80
0,6.581,1.80
0,6.620,1.80
0,6.621,1.80
0,6.623,1.80
0,6.647,1.80
0,6.661,1.80
0,6.674,1.80
0,6.674,1.80
0,6.675,1.80
0,6.703,1.80
0,6.703,1.80
0,6.704,1.80
0,6.706,1.80
0,6.744,1.81
0,6.746,1.81
0,6.747,1.81
0,6.749,1.81
0,6.785,1.81
0,6.799,1.81
0,6.800,1.81
0,6.801,1.81
0,6.827,1.81
0,6.827,1.81
0,6.828,1.81
0,6.829,1.81
0,6.868,1.81
0,6.869,1.81
0,6.870,1.81
0,6.890,1.81
0,6.909,1.81
0,6.913,1.81
0,6.913,1.81
0,6.914,1.81
0,6.951,1.81
0,6.951,1.81
0,6.952,1.81
0,6.953,1.81
0,6.992,1.81
0,6.993,1.81
0,6.995,1.81
0,7.013,1.81
0,7.034,1.81
0,7.035,1.81
0,7.035,1.81
0,7.036,1.81
0,7.075,1.81
0,7.075,1.81
0,7.076,1.82
0,7.078,1.82
0,7.116,1.82
0,7.118,1.82
0,7.120,1.82
0,7.121,1.82
0,7.158,1.82
0,7.172,1.82
0,7.173,1.82
0,7.175,1.82
0,7.199,1.82
0,7.201,1.82
0,7.202,1.82
0,7.203,1.82
0,7.240,1.82
0,7.241,1.82
0,7.243,1.82
0,7.263,1.82
0,7.282,1.82
0,7.285,1.82
0,7.285,1.82
0,7.286,1.82
0,7.323,1.82
0,7.323,1.82
0,7.324,1.82
0,7.326,1.82
0,7.365,1.82
0,7.366,1.82
0,7.367,1.82
0,7.387,1.82
0,7.406,1.82
0,7.408,1.82
0,7.408,1.82
0,7.410,1.83
0,7.447,1.83
0,7.448,1.83
0,7.449,1.83
0,7.451,1.83
0,7.489,1.83
0,7.490,1.83
0,7.491,1.83
0,7.517,1.83
0,7.530,1.83
0,7.545,1.83
0,7.546,1.83
0,7.547,1.83
0,7.571,1.83
0,7.574,1.83
0,7.575,1.83
0,7.577,1.83
0,7.613,1.83
0,7.614,1.83
0,7.616,1.83
0,7.641,1.83
0,7.654,1.83
0,7.670,1.83
0,7.670,1.83
0,7.671,1.83
0,7.695,1.83
0,7.698,1.83
0,7.700,1.83
0,7.701,1.83
0,7.737,1.83
0,7.738,1.83
0,7.739,1.83
0,7.760,1.83
0,7.778,1.83
0,7.782,1.83
0,7.782,1.83
0,7.783,1.83
0,7.819,1.83
0,7.820,1.83
0,7.821,1.83
0,7.822,1.83
0,7.861,1.83
0,7.862,1.83
0,7.863,1.83
0,7.883,1.83
0,7.902,1.83
0,7.907,1.83
0,7.907,1.83
0,7.908,1.83
0,7.944,1.83
0,7.944,1.83
0,7.945,1.83
0,7.946,1.83
0,7.985,1.83
0,7.986,1.83
0,7.987,1.83
0,7.988,1.83
0,8.026,1.83
0,8.030,1.83
0,8.031,1.83
0,8.031,1.83
0,8.068,1.83
0,8.068,1.84
0,8.069,1.84
0,8.070,1.84
0,8.109,1.84
0,8.110,1.84
0,8.111,1.84
0,8.132,1.84
0,8.150,1.84
0,8.156,1.84
0,8.156,1.84
0,8.157,1.84
0,8.192,1.84
0,8.192,1.84
0,8.193,1.84
0,8.194,1.84
0,8.233,1.84
0,8.234,1.84
0,8.236,1.84
0,8.262,1.84
0,8.274,1.84
0,8.290,1.84
0,8.290,1.84
0,8.292,1.84
0,8.316,1.84
0,8.318,1.84
0,8.319,1.84
0,8.320,1.84
0,8.357,1.86
0,8.359,1.86
0,8.360,1.86
0,8.361,1.86
0,8.399,1.86
0,8.403,1.86
0,8.404,1.86
