0.033377	0.212281	
0.033439	0.212632	
0.033545	0.212982	
0.033657	0.213333	
0.033775	0.213684	
0.033928	0.214035	
0.033941	0.214386	
0.034014	0.214737	
0.034020	0.215088	
0.034125	0.215439	
0.034151	0.215789	
0.034203	0.216140	
0.034242	0.216491	
0.034419	0.216842	
0.034438	0.217193	
0.034565	0.217544	
0.034698	0.217895	
0.034874	0.218246	
0.034883	0.218596	
0.034991	0.218947	
0.035071	0.219298	
0.035075	0.219649	
0.035092	0.220000	
0.035402	0.220351	
0.035403	0.220702	
0.035423	0.221053	
0.035431	0.221404	
0.035558	0.221754	
0.035974	0.222105	
0.035977	0.222456	
0.036072	0.222807	
0.036113	0.223158	
0.036124	0.223509	
0.036180	0.223860	
0.036267	0.224211	
0.036317	0.224561	
0.036323	0.224912	
0.036398	0.225263	
0.036427	0.225614	
0.036483	0.225965	
0.036533	0.226316	
0.036549	0.226667	
0.036577	0.227018	
0.036577	0.227368	
0.036590	0.227719	
0.037042	0.228070	
0.037140	0.228421	
0.037252	0.228772	
0.037294	0.229123	
0.037574	0.229474	
0.037659	0.229825	
0.038003	0.230175	
0.038049	0.230526	
0.038204	0.230877	
0.038214	0.231228	
0.038227	0.231579	
0.038276	0.231930	
0.038282	0.232281	
0.038305	0.232632	
0.038541	0.232982	
0.038673	0.233333	
0.038775	0.233684	
0.038781	0.234035	
0.038799	0.234386	
0.038921	0.234737	
0.038996	0.235088	
0.039003	0.235439	
0.039212	0.235789	
0.039306	0.236140	
0.039372	0.236491	
0.039533	0.236842	
0.039552	0.237193	
0.039602	0.237544	
0.039738	0.237895	
0.039788	0.238246	
0.039816	0.238596	
0.039947	0.238947	
0.039979	0.239298	
0.040127	0.239649	
0.040192	0.240000	
0.040197	0.240351	
0.040215	0.240702	
0.040324	0.241053	
0.040373	0.241404	
0.040538	0.241754	
0.040591	0.242105	
0.040818	0.242456	
0.040822	0.242807	
0.040826	0.243158	
0.040888	0.243509	
0.041099	0.243860	
0.041117	0.244211	
0.041226	0.244561	
0.041285	0.244912	
0.041384	0.245263	
0.041405	0.245614	
0.041462	0.245965	
0.041477	0.246316	
0.041805	0.246667	
0.041867	0.247018	
0.041950	0.247368	
