id,time(s),value
0,6.123,1.70
0,6.124,1.70
0,6.164,1.70
0,6.165,1.70
0,6.166,1.70
0,6.186,1.71
0,6.205,1.71
0,6.209,1.71
0,6.210,1.71
0,6.211,1.71
0,6.246,1.71
0,6.246,1.71
0,6.247,1.71
0,6.249,1.71
0,6.288,1.71
0,6.289,1.71
0,6.291,1.71
0,6.327,1.71
0,6.329,1.71
0,6.330,1.71
0,6.366,1.71
0,6.367,1.71
0,6.371,1.71
0,6.404,1.71
0,6.406,1.73
0,6.408,1.73
0,6.444,1.73
0,6.446,1.73
0,6.448,1.73
0,6.450,1.73
0,6.453,1.73
0,6.455,1.73
0,6.492,1.73
0,6.493,1.73
0,6.496,1.73
0,6.533,1.73
0,6.534,1.73
0,6.542,1.73
0,6.543,1.73
0,6.577,1.73
0,6.578,1.73
0,6.596,1.73
0,6.597,1.73
0,6.597,1.74
0,6.613,1.74
0,6.614,1.74
0,6.618,1.74
0,6.626,1.74
0,6.627,1.74
0,6.627,1.74
0,6.660,1.74
0,6.660,1.74
0,6.661,1.74
0,6.671,1.74
0,6.701,1.74
0,6.701,1.74
0,6.702,1.74
0,6.702,1.74
0,6.743,1.74
0,6.743,1.74
0,6.743,1.74
0,6.744,1.74
0,6.784,1.74
0,6.785,1.75
0,6.786,1.75
0,6.799,1.75
0,6.825,1.75
0,6.825,1.75
0,6.825,1.75
0,6.826,1.75
0,6.867,1.75
0,6.867,1.75
0,6.867,1.75
0,6.868,1.75
0,6.908,1.75
0,6.909,1.75
0,6.909,1.75
0,6.919,1.75
0,6.950,1.75
0,6.950,1.75
0,6.950,1.75
0,6.951,1.75
0,6.991,1.75
0,6.991,1.75
0,6.992,1.76
0,6.993,1.76
0,7.032,1.76
0,7.034,1.76
0,7.035,1.76
0,7.036,1.76
0,7.074,1.76
0,7.075,1.76
0,7.076,1.76
0,7.076,1.76
0,7.115,1.76
0,7.115,1.76
0,7.116,1.76
0,7.117,1.76
0,7.157,1.76
0,7.158,1.76
0,7.159,1.76
0,7.178,1.76
0,7.198,1.76
0,7.198,1.76
0,7.198,1.76
0,7.199,1.76
0,7.239,1.77
0,7.240,1.77
0,7.241,1.77
0,7.243,1.77
0,7.281,1.77
